ticker,code,industry,included,excluded
000045.SZ,622010,Capital Goods,20120710,20150330
000045.SZ,624520,Technology Hardware & Equipment,20150331,
000046.SZ,624040,Real Estate,19940912,20170301
000046.SZ,626010,Real Estate,20170302,20190827
000046.SZ,624020,Diversified Financials,20190828,
000047.SZ,624040,Real Estate,19941021,20170301
000047.SZ,626010,Real Estate,20170302,
000048.SZ,623020,"Food, Beverage & Tobacco",19941101,
000049.SZ,624040,Real Estate,19950320,20050228
000049.SZ,624520,Technology Hardware & Equipment,20050301,20120711
000049.SZ,622010,Capital Goods,20120712,
000050.SZ,624520,Technology Hardware & Equipment,19950315,
000055.SZ,622010,Capital Goods,19960415,
000056.SZ,622550,Retailing,19960708,20070411
000056.SZ,622010,Capital Goods,20070412,20080827
000056.SZ,624040,Real Estate,20080828,20120711
000056.SZ,624040,Real Estate,20120712,20170301
000056.SZ,626010,Real Estate,20170302,20190715
000056.SZ,622020,Commercial & Professional Services,20190716,
000058.SZ,624520,Technology Hardware & Equipment,19960722,20120711
000058.SZ,624040,Real Estate,20120712,20170301
000058.SZ,626010,Real Estate,20170302,
000059.SZ,621510,Materials,19970130,20120719
000059.SZ,621010,Energy,20120720,
000060.SZ,621510,Materials,19970123,
000061.SZ,623010,Food & Staples Retailing,19970110,
000062.SZ,624520,Technology Hardware & Equipment,19970130,20100815
000062.SZ,624040,Real Estate,20100816,20170301
000062.SZ,626010,Real Estate,20170302,20180322
000062.SZ,624520,Technology Hardware & Equipment,20180323,
000063.SZ,624520,Technology Hardware & Equipment,19971118,
000065.SZ,622010,Capital Goods,19980605,20010728
000065.SZ,622010,Capital Goods,20010729,
000066.SZ,624520,Technology Hardware & Equipment,19970626,
000068.SZ,624520,Technology Hardware & Equipment,19970611,20150323
000068.SZ,622020,Commercial & Professional Services,20150324,
000069.SZ,622530,Consumer Services,19970910,
000070.SZ,624520,Technology Hardware & Equipment,20000511,
000078.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19981218,20040420
000078.SZ,623510,Health Care Equipment & Services,20040421,
000088.SZ,622030,Transportation,19970728,
000089.SZ,622030,Transportation,19980420,
000090.SZ,622010,Capital Goods,19990721,
000096.SZ,621010,Energy,20000724,
000099.SZ,622030,Transportation,20000731,
000100.SZ,622520,Consumer Durables & Apparel,20040130,20180427
000100.SZ,624520,Technology Hardware & Equipment,20180428,
000150.SZ,622520,Consumer Durables & Apparel,20000807,20071031
000150.SZ,624040,Real Estate,20071101,20150208
000150.SZ,623510,Health Care Equipment & Services,20150209,
000151.SZ,622010,Capital Goods,20000906,
000153.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20000920,
000155.SZ,621510,Materials,20000926,20170428
000155.SZ,622010,Capital Goods,20170429,20180928
000155.SZ,625510,Utilities,20180929,
000156.SZ,621510,Materials,20000906,20050321
000156.SZ,622010,Capital Goods,20050322,20120719
000156.SZ,621510,Materials,20120720,20121010
000156.SZ,622540,Media,20121011,
000157.SZ,622010,Capital Goods,20001012,
000158.SZ,622520,Consumer Durables & Apparel,20000724,20190717
000158.SZ,624510,Software & Services,20190718,
000159.SZ,624040,Real Estate,20000926,20060225
000159.SZ,622010,Capital Goods,20060226,20070327
000159.SZ,621010,Energy,20070328,20120719
000159.SZ,621010,Energy,20120720,
000166.SZ,624020,Diversified Financials,20150126,
000301.SZ,622520,Consumer Durables & Apparel,20000529,20090324
000301.SZ,622010,Capital Goods,20090325,20100104
000301.SZ,624040,Real Estate,20100105,20140504
000301.SZ,625510,Utilities,20140505,20180627
000301.SZ,621510,Materials,20180628,
000333.SZ,622520,Consumer Durables & Apparel,20130918,
000338.SZ,622010,Capital Goods,20040311,
000400.SZ,622010,Capital Goods,19970418,
000401.SZ,621510,Materials,19960614,
000402.SZ,621510,Materials,19960626,20010227
000402.SZ,624040,Real Estate,20010228,20170301
000402.SZ,626010,Real Estate,20170302,
000403.SZ,622010,Capital Goods,19960628,20020403
000403.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20020404,20060429
000403.SZ,622010,Capital Goods,20060430,20080828
000403.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20080829,
000404.SZ,622010,Capital Goods,19960619,
000405.SZ,621510,Materials,19960620,
000406.SZ,621010,Energy,19960628,20060421
000407.SZ,621010,Energy,19960703,20060804
000407.SZ,622010,Capital Goods,20060805,20151118
000407.SZ,625510,Utilities,20151119,
000408.SZ,622520,Consumer Durables & Apparel,19960628,20070817
000408.SZ,622010,Capital Goods,20070818,20151216
000408.SZ,621510,Materials,20151217,
000409.SZ,621510,Materials,19960627,20040430
000409.SZ,622010,Capital Goods,20040501,20130103
000409.SZ,621510,Materials,20130104,20160427
000409.SZ,622010,Capital Goods,20160428,
000410.SZ,622010,Capital Goods,19960718,
000411.SZ,622520,Consumer Durables & Apparel,19960716,20020430
000411.SZ,623510,Health Care Equipment & Services,20020501,
000412.SZ,622010,Capital Goods,19960715,
000413.SZ,624520,Technology Hardware & Equipment,19960925,
000415.SZ,622010,Capital Goods,19960716,20020420
000415.SZ,623010,Food & Staples Retailing,20020421,20050426
000415.SZ,622010,Capital Goods,20050427,20080825
000415.SZ,622010,Capital Goods,20080826,20110829
000415.SZ,624020,Diversified Financials,20110830,
000416.SZ,623510,Health Care Equipment & Services,19960719,20080409
000416.SZ,622550,Retailing,20080410,20150104
000416.SZ,624020,Diversified Financials,20150105,
000417.SZ,622550,Retailing,19960812,
000418.SZ,622520,Consumer Durables & Apparel,19970328,20190621
000419.SZ,622550,Retailing,19960816,19990806
000419.SZ,622550,Retailing,19990807,20121126
000419.SZ,622550,Retailing,20121127,
000420.SZ,621510,Materials,19960802,
000421.SZ,622030,Transportation,19960806,20140831
000421.SZ,622010,Capital Goods,20140901,20150302
000421.SZ,625510,Utilities,20150303,
000422.SZ,621510,Materials,19960815,
000423.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19960729,
000425.SZ,622010,Capital Goods,19960828,
000426.SZ,625510,Utilities,19960828,20040429
000426.SZ,624040,Real Estate,20040430,20050823
000426.SZ,625510,Utilities,20050824,20111221
000426.SZ,621510,Materials,20111222,
000428.SZ,622530,Consumer Services,19960808,
000429.SZ,622030,Transportation,19960815,
000430.SZ,622530,Consumer Services,19960829,
000488.SZ,621510,Materials,19970526,
000498.SZ,621510,Materials,19970609,20121219
000498.SZ,622010,Capital Goods,20121220,
000501.SZ,622550,Retailing,19921120,
000502.SZ,624040,Real Estate,19921123,20170301
000502.SZ,626010,Real Estate,20170302,
000503.SZ,621510,Materials,19921130,20030826
000503.SZ,622010,Capital Goods,20030827,20070418
000503.SZ,624510,Software & Services,20070419,
000504.SZ,624040,Real Estate,19921208,20030222
000504.SZ,622540,Media,20030223,20150329
000504.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20150330,
000505.SZ,624040,Real Estate,19921221,20170301
000505.SZ,626010,Real Estate,20170302,20170928
000505.SZ,623020,"Food, Beverage & Tobacco",20170929,
000506.SZ,621510,Materials,19930312,20000725
000506.SZ,621510,Materials,20000726,20080829
000506.SZ,624040,Real Estate,20080830,20170301
000506.SZ,626010,Real Estate,20170302,
000507.SZ,622010,Capital Goods,19930326,20140831
000507.SZ,622030,Transportation,20140901,
000508.SZ,623020,"Food, Beverage & Tobacco",19930430,19990712
000509.SZ,623020,"Food, Beverage & Tobacco",19930507,20020826
000509.SZ,622010,Capital Goods,20020827,20180416
000509.SZ,622010,Capital Goods,20180417,20190816
000509.SZ,623510,Health Care Equipment & Services,20190817,
000510.SZ,621510,Materials,19930507,
000511.SZ,622020,Commercial & Professional Services,19930518,19990210
000511.SZ,624040,Real Estate,19990211,20140101
000511.SZ,621510,Materials,20140102,20180718
000511.SZ,621510,Materials,20180719,
000513.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19930720,
000514.SZ,624040,Real Estate,19930712,20170301
000514.SZ,626010,Real Estate,20170302,
000515.SZ,621510,Materials,19930712,
000516.SZ,622550,Retailing,19930809,20190424
000516.SZ,623510,Health Care Equipment & Services,20190425,
000517.SZ,621510,Materials,19930806,20000309
000517.SZ,624520,Technology Hardware & Equipment,20000310,20050831
000517.SZ,622520,Consumer Durables & Apparel,20050901,20090624
000517.SZ,624040,Real Estate,20090625,20170301
000517.SZ,626010,Real Estate,20170302,
000518.SZ,622520,Consumer Durables & Apparel,19930908,20080422
000518.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20080423,
000519.SZ,622510,Automobiles & Components,19931008,20140504
000519.SZ,621510,Materials,20140505,20161220
000519.SZ,622010,Capital Goods,20161221,
000520.SZ,621510,Materials,19931025,20070412
000520.SZ,622030,Transportation,20070413,
000521.SZ,622520,Consumer Durables & Apparel,19931018,
000522.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19931108,20130426
000523.SZ,623030,Household & Personal Products,19931108,
000524.SZ,622530,Consumer Services,19931118,
000525.SZ,621510,Materials,19931028,
000526.SZ,623020,"Food, Beverage & Tobacco",19931101,19950828
000526.SZ,624040,Real Estate,19950829,20160712
000526.SZ,622530,Consumer Services,20160713,
000527.SZ,622520,Consumer Durables & Apparel,19931112,20130918
000528.SZ,622010,Capital Goods,19931118,
000529.SZ,622520,Consumer Durables & Apparel,19931118,20090724
000529.SZ,622010,Capital Goods,20090725,20130328
000529.SZ,622540,Media,20130329,20200821
000529.SZ,623010,Food & Staples Retailing,20200822,
000530.SZ,622010,Capital Goods,19931208,
000531.SZ,625510,Utilities,19940106,
000532.SZ,625510,Utilities,19940103,20010814
000532.SZ,624520,Technology Hardware & Equipment,20010815,20070420
000532.SZ,624520,Technology Hardware & Equipment,20070421,20150329
000532.SZ,624520,Technology Hardware & Equipment,20150330,
000533.SZ,622010,Capital Goods,19940103,20121128
000533.SZ,622520,Consumer Durables & Apparel,20121129,
000534.SZ,625510,Utilities,19940110,20090827
000534.SZ,624040,Real Estate,20090828,20170301
000534.SZ,626010,Real Estate,20170302,20190319
000534.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20190320,
000535.SZ,622010,Capital Goods,19931130,
000536.SZ,622010,Capital Goods,19931126,20090407
000536.SZ,624520,Technology Hardware & Equipment,20090408,20110131
000536.SZ,624520,Technology Hardware & Equipment,20110201,
000537.SZ,622550,Retailing,19931210,20010306
000537.SZ,624520,Technology Hardware & Equipment,20010307,20040430
000537.SZ,625510,Utilities,20040501,20050422
000537.SZ,624040,Real Estate,20050423,20170301
000537.SZ,626010,Real Estate,20170302,
000538.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19931215,
000539.SZ,625510,Utilities,19931126,
000540.SZ,624040,Real Estate,19940202,20170301
000540.SZ,626010,Real Estate,20170302,
000541.SZ,622520,Consumer Durables & Apparel,19931123,
000542.SZ,624520,Technology Hardware & Equipment,19931201,20040113
000543.SZ,625510,Utilities,19931220,
000544.SZ,622010,Capital Goods,19931208,20070731
000544.SZ,625510,Utilities,20070801,20160426
000544.SZ,625510,Utilities,20160427,
000545.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19931215,20130501
000545.SZ,621510,Materials,20130502,
000546.SZ,624040,Real Estate,19931215,20140504
000546.SZ,621510,Materials,20140505,
000547.SZ,624520,Technology Hardware & Equipment,19931130,20160414
000547.SZ,622010,Capital Goods,20160415,
000548.SZ,622520,Consumer Durables & Apparel,19931220,19990423
000548.SZ,622030,Transportation,19990424,
000549.SZ,622510,Automobiles & Components,19931220,20070427
000550.SZ,622510,Automobiles & Components,19931201,
000551.SZ,622010,Capital Goods,19940106,20000826
000551.SZ,622010,Capital Goods,20000827,
000552.SZ,622520,Consumer Durables & Apparel,19940106,20050804
000552.SZ,621010,Energy,20050805,
000553.SZ,621510,Materials,19931203,
000554.SZ,621010,Energy,19931215,
000555.SZ,621510,Materials,19940408,20010813
000555.SZ,624520,Technology Hardware & Equipment,20010814,20140101
000555.SZ,624510,Software & Services,20140102,
000556.SZ,622030,Transportation,19940525,
000557.SZ,623020,"Food, Beverage & Tobacco",19940617,20170406
000557.SZ,622030,Transportation,20170407,
000558.SZ,624040,Real Estate,19940509,20150817
000558.SZ,622530,Consumer Services,20150818,
000559.SZ,622510,Automobiles & Components,19940110,
000560.SZ,622550,Retailing,19940202,20180427
000560.SZ,626010,Real Estate,20180428,
000561.SZ,622520,Consumer Durables & Apparel,19940509,20100311
000561.SZ,624520,Technology Hardware & Equipment,20100312,
000562.SZ,624020,Diversified Financials,19940202,20150126
000563.SZ,624040,Real Estate,19940110,20060821
000563.SZ,624020,Diversified Financials,20060822,
000564.SZ,622550,Retailing,19940110,
000565.SZ,621510,Materials,19940408,
000566.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19940525,
000567.SZ,621510,Materials,19940525,20030429
000567.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20030430,20060408
000567.SZ,624040,Real Estate,20060409,20170301
000567.SZ,626010,Real Estate,20170302,20180427
000567.SZ,624020,Diversified Financials,20180428,
000568.SZ,623020,"Food, Beverage & Tobacco",19940509,
000569.SZ,621510,Materials,19940425,20090506
000570.SZ,622010,Capital Goods,19940701,
000571.SZ,622510,Automobiles & Components,19940525,20080318
000571.SZ,622010,Capital Goods,20080319,20090815
000571.SZ,621010,Energy,20090816,20171126
000571.SZ,622010,Capital Goods,20171127,
000572.SZ,624040,Real Estate,19940808,20050820
000572.SZ,622550,Retailing,20050821,20070721
000572.SZ,622510,Automobiles & Components,20070722,
000573.SZ,624040,Real Estate,19940815,20170301
000573.SZ,626010,Real Estate,20170302,
000576.SZ,623020,"Food, Beverage & Tobacco",19940907,20100817
000576.SZ,622010,Capital Goods,20100818,20120719
000576.SZ,621510,Materials,20120720,20180817
000576.SZ,623020,"Food, Beverage & Tobacco",20180818,
000578.SZ,622550,Retailing,19950303,20010324
000578.SZ,624520,Technology Hardware & Equipment,20010325,20080306
000578.SZ,621510,Materials,20080307,20110322
000581.SZ,622510,Automobiles & Components,19950911,
000582.SZ,622030,Transportation,19951102,
000583.SZ,622010,Capital Goods,19951101,19990320
000583.SZ,624510,Software & Services,19990321,
000584.SZ,622550,Retailing,19951128,20040422
000584.SZ,621510,Materials,20040423,20170823
000584.SZ,622010,Capital Goods,20170824,
000585.SZ,622010,Capital Goods,19951213,20190829
000585.SZ,622530,Consumer Services,20190830,20200828
000585.SZ,622010,Capital Goods,20200829,
000586.SZ,622010,Capital Goods,19951220,20030826
000586.SZ,624520,Technology Hardware & Equipment,20030827,
000587.SZ,622520,Consumer Durables & Apparel,19960425,20111215
000587.SZ,622520,Consumer Durables & Apparel,20111216,
000588.SZ,623020,"Food, Beverage & Tobacco",19960123,
000589.SZ,622510,Automobiles & Components,19960308,
000590.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19960119,20070428
000590.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20070429,
000591.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19960208,20110106
000591.SZ,623010,Food & Staples Retailing,20110107,20151129
000591.SZ,625510,Utilities,20151130,
000592.SZ,624040,Real Estate,19960327,20080123
000592.SZ,621510,Materials,20080124,
000593.SZ,622550,Retailing,19960312,20040417
000593.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20040418,20070426
000593.SZ,622010,Capital Goods,20070427,20120719
000593.SZ,622550,Retailing,20120720,20170427
000593.SZ,625510,Utilities,20170428,
000594.SZ,621510,Materials,19960320,20070825
000594.SZ,622010,Capital Goods,20070826,20080806
000594.SZ,624040,Real Estate,20080807,20100428
000594.SZ,622030,Transportation,20100429,20120719
000594.SZ,622010,Capital Goods,20120720,20150713
000594.SZ,622550,Retailing,20150714,
000595.SZ,622010,Capital Goods,19960419,
000596.SZ,623020,"Food, Beverage & Tobacco",19960612,
000597.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19960523,
000598.SZ,621510,Materials,19960529,20100318
000598.SZ,625510,Utilities,20100319,
000599.SZ,622510,Automobiles & Components,19960430,
000600.SZ,622530,Consumer Services,19960606,20040326
000600.SZ,625510,Utilities,20040327,
000601.SZ,625510,Utilities,19960830,
000602.SZ,624510,Software & Services,19960819,20090414
000602.SZ,621510,Materials,20090415,20120719
000602.SZ,625510,Utilities,20120720,20130814
000603.SZ,623510,Health Care Equipment & Services,19960823,20050428
000603.SZ,622550,Retailing,20050429,20111110
000603.SZ,621510,Materials,20111111,20190422
000603.SZ,621510,Materials,20190423,
000605.SZ,622010,Capital Goods,19960913,20020406
000605.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20020407,20140101
000605.SZ,625510,Utilities,20140102,
000606.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19961004,20160602
000606.SZ,624510,Software & Services,20160603,
000607.SZ,622010,Capital Goods,19960830,20060323
000607.SZ,623010,Food & Staples Retailing,20060324,20100319
000607.SZ,622010,Capital Goods,20100320,20141217
000607.SZ,622540,Media,20141218,20170417
000607.SZ,622540,Media,20170418,
000608.SZ,621510,Materials,19960919,19990310
000608.SZ,624040,Real Estate,19990311,20170301
000608.SZ,626010,Real Estate,20170302,
000609.SZ,621510,Materials,19961010,20070330
000609.SZ,624040,Real Estate,20070331,20120719
000609.SZ,622530,Consumer Services,20120720,20140504
000609.SZ,624040,Real Estate,20140505,20170301
000609.SZ,626010,Real Estate,20170302,
000610.SZ,622530,Consumer Services,19960926,
000611.SZ,622550,Retailing,19961008,20030423
000611.SZ,624520,Technology Hardware & Equipment,20030424,20120719
000611.SZ,622520,Consumer Durables & Apparel,20120720,20190830
000611.SZ,622010,Capital Goods,20190831,
000612.SZ,621510,Materials,19960926,
000613.SZ,622530,Consumer Services,19961008,
000615.SZ,624520,Technology Hardware & Equipment,19961016,20070419
000615.SZ,621510,Materials,20070420,20150806
000615.SZ,624040,Real Estate,20150807,20170301
000615.SZ,626010,Real Estate,20170302,
000616.SZ,622530,Consumer Services,19961108,20031028
000616.SZ,624040,Real Estate,20031029,20170301
000616.SZ,626010,Real Estate,20170302,
000617.SZ,622010,Capital Goods,19961022,20170209
000617.SZ,624020,Diversified Financials,20170210,
000618.SZ,621510,Materials,19961015,20060220
000619.SZ,621510,Materials,19961023,20010221
000619.SZ,622010,Capital Goods,20010222,
000620.SZ,621010,Energy,19961029,20110707
000620.SZ,624040,Real Estate,20110708,20170301
000620.SZ,626010,Real Estate,20170302,
000621.SZ,624510,Software & Services,19961105,
000622.SZ,622510,Automobiles & Components,19961107,
000623.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19961028,
000625.SZ,622510,Automobiles & Components,19961108,
000626.SZ,622550,Retailing,19961128,20120719
000626.SZ,622010,Capital Goods,20120720,
000627.SZ,621510,Materials,19961112,20170424
000627.SZ,624030,Insurance,20170425,
000628.SZ,624040,Real Estate,19961118,20140504
000628.SZ,622010,Capital Goods,20140505,
000629.SZ,621510,Materials,19961115,20130811
000629.SZ,621510,Materials,20130812,
000630.SZ,621510,Materials,19961120,
000631.SZ,622510,Automobiles & Components,19961122,20090604
000631.SZ,624040,Real Estate,20090605,20170301
000631.SZ,626010,Real Estate,20170302,
000632.SZ,622010,Capital Goods,19961121,
000633.SZ,622520,Consumer Durables & Apparel,19961112,20100306
000633.SZ,621510,Materials,20100307,
000635.SZ,621510,Materials,19961120,
000636.SZ,624520,Technology Hardware & Equipment,19961129,
000637.SZ,621510,Materials,19961114,
000638.SZ,622010,Capital Goods,19961126,20090604
000638.SZ,624040,Real Estate,20090605,20130331
000638.SZ,622010,Capital Goods,20130401,
000639.SZ,622010,Capital Goods,19961126,20030124
000639.SZ,622010,Capital Goods,20030125,20080807
000639.SZ,622010,Capital Goods,20080808,20110222
000639.SZ,623020,"Food, Beverage & Tobacco",20110223,
000650.SZ,621510,Materials,19961210,20070110
000650.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",20070111,
000651.SZ,622520,Consumer Durables & Apparel,19961118,
000652.SZ,621510,Materials,19961128,19980218
000652.SZ,622010,Capital Goods,19980219,20140504
000652.SZ,622010,Capital Goods,20140505,
000653.SZ,622010,Capital Goods,19961126,
000655.SZ,622520,Consumer Durables & Apparel,19961128,20070205
000655.SZ,621510,Materials,20070206,
000656.SZ,621510,Materials,19961128,20040418
000656.SZ,624040,Real Estate,20040419,20170301
000656.SZ,626010,Real Estate,20170302,
000657.SZ,621510,Materials,19961205,
000658.SZ,622010,Capital Goods,19961218,
000659.SZ,621510,Materials,19961203,
000660.SZ,622010,Capital Goods,19961209,
000661.SZ,623520,"Pharmaceuticals, Biotechnology & Life Sciences",19961218,
000662.SZ,622010,Capital Goods,19961216,20040410
000662.SZ,623030,Household & Personal Products,20040411,20160502
000662.SZ,624510,Software & Services,20160503,
000663.SZ,621510,Materials,19961206,20150908
000663.SZ,622520,Consumer Durables & Apparel,20150909,
000665.SZ,622510,Automobiles & Components,19961210,20121120
000665.SZ,622540,Media,20121121,
000666.SZ,622010,Capital Goods,19961210,20170323
000666.SZ,624020,Diversified Financials,20170324,
000667.SZ,622550,Retailing,19961205,20030422
000667.SZ,624040,Real Estate,20030423,20170301
000667.SZ,626010,Real Estate,20170302,
000668.SZ,621010,Energy,19961210,20090122
000668.SZ,624040,Real Estate,20090123,20170301
000668.SZ,626010,Real Estate,20170302,
000669.SZ,622520,Consumer Durables & Apparel,19961210,20000809
000669.SZ,623010,Food & Staples Retailing,20000810,20100418
000669.SZ,621510,Materials,20100419,20121213
000669.SZ,625510,Utilities,20121214,
000670.SZ,621010,Energy,19961217,20090729
000670.SZ,624040,Real Estate,20090730,20140831
000670.SZ,624530,Semiconductors & Semiconductor Equipment,20140901,
000671.SZ,622010,Capital Goods,19961218,20020830
000671.SZ,624040,Real Estate,20020831,20170301
000671.SZ,626010,Real Estate,20170302,
000672.SZ,622550,Retailing,19961218,20040419
000672.SZ,621510,Materials,20040420,20050830
000672.SZ,622550,Retailing,20050831,20130501
000672.SZ,621510,Materials,20130502,
000673.SZ,621510,Materials,19970124,20121203
000673.SZ,622540,Media,20121204,20170412
000673.SZ,622540,Media,20170413,
000675.SZ,621510,Materials,19961226,
000676.SZ,622010,Capital Goods,19961224,20150203
000676.SZ,624510,Software & Services,20150204,20160330
000676.SZ,624510,Software & Services,20160331,
000677.SZ,621510,Materials,19961226,
000678.SZ,622510,Automobiles & Components,19970106,
000679.SZ,622550,Retailing,19970124,
000680.SZ,622010,Capital Goods,19970122,
000681.SZ,622520,Consumer Durables & Apparel,19970121,20130228
000681.SZ,622540,Media,20130301,
000682.SZ,622010,Capital Goods,19970121,
000683.SZ,621510,Materials,19970131,
000685.SZ,624040,Real Estate,19970123,20090826
000685.SZ,625510,Utilities,20090827,
000686.SZ,621010,Energy,19970227,20070724
000686.SZ,624020,Diversified Financials,20070725,
000687.SZ,621510,Materials,19970221,20151022
000687.SZ,622010,Capital Goods,20151023,
000688.SZ,622520,Consumer Durables & Apparel,19970120,20010818
000688.SZ,624520,Technology Hardware & Equipment,20010819,20120719
000688.SZ,621510,Materials,20120720,
000689.SZ,621510,Materials,19961231,
000690.SZ,622010,Capital Goods,19970128,20060124
000690.SZ,625510,Utilities,20060125,
000691.SZ,621510,Materials,19970228,20120220
000691.SZ,624040,Real Estate,20120221,20170301
000691.SZ,626010,Real Estate,20170302,20200827
000691.SZ,621510,Materials,20200828,
000692.SZ,625510,Utilities,19970227,
000693.SZ,621510,Materials,19970226,20000218
000693.SZ,624520,Technology Hardware & Equipment,20000219,20131008
